OS,File_Pattern,Path_Example,Description,Safe_To_Delete,Enabled
Windows,hiberfil.sys,C:\hiberfil.sys,Hibernation image file,Yes,Yes
Windows,pagefile.sys,C:\pagefile.sys,Paging file for virtual memory,Conditional,Yes
Windows,swapfile.sys,C:\swapfile.sys,Swap file for modern apps,Conditional,Yes
Windows,thumbcache_*.db,%USERPROFILE%\AppData\Local\Microsoft\Windows\Explorer\thumbcache_*.db,Thumbnail cache database,Yes,Yes
Windows,IconCache.db,%USERPROFILE%\AppData\Local\IconCache.db,User icon cache database,Yes,Yes
Windows,*.log,"C:\Windows\Logs\*, C:\ProgramData\*, %USERPROFILE%\AppData\*",General log files from system or applications,Yes,Yes
Windows,*.dmp,C:\Windows\Minidump\*.dmp,Crash dump files,Yes,Yes
Windows,setupapi.dev.log,C:\Windows\inf\setupapi.dev.log,Device installation log,Yes,Yes
Windows,WindowsUpdate.log,C:\Windows\WindowsUpdate.log,Windows update activity log,Yes,Yes
Windows,*.evtx,C:\Windows\System32\winevt\Logs\*.evtx,Event log database files,Conditional,Yes
Windows,CBS.log,C:\Windows\Logs\CBS\CBS.log,Component-based servicing log,Yes,Yes
Windows,PFRO.log,C:\Windows\PFRO.log,Pending file rename operations log,Yes,Yes
Windows,*.etl,C:\Windows\System32\LogFiles\*.etl,Event tracing logs,Yes,Yes
Windows,*.tmp,%TEMP%\*.tmp,Temporary files generated by system or apps,Yes,Yes
Windows,~$*.docx,%USERPROFILE%\Documents\~$*.docx,Microsoft Office temporary edit locks,Yes,Yes
Windows,*.bak,"%USERPROFILE%\AppData\Local\*, ProgramData\*",Backup files,Yes,Yes
Windows,memory.dmp,C:\Windows\memory.dmp,System crash memory dump,Yes,Yes
Windows,bootstat.dat,C:\Windows\bootstat.dat,Boot status tracking file,Conditional,Yes
Windows,*.old,C:\Windows.old\*,Old installation remnants,Yes,Yes
Windows,*.chk,C:\FOUND.000\*.chk,Recovered file fragments from CHKDSK,Yes,Yes
Windows,*.wer,%LOCALAPPDATA%\CrashDumps\*.wer,Windows Error Reporting files,Yes,Yes
Windows,*.jrs,C:\Windows\System32\config\*.jrs,Registry transaction logs,Conditional,Yes
Windows,*.blf,C:\Windows\System32\config\*.blf,Registry transaction logs,Conditional,Yes
